iter	RMSE
0	0.08931492091
1	0.08779347017
2	0.08636444811
3	0.08485809425
4	0.08356466614
5	0.0822973977
6	0.08101247252
7	0.07983439153
8	0.0785681593
9	0.0771847166
10	0.07609634572
11	0.07488123289
12	0.0738201335
13	0.07269169362
14	0.07170244091
15	0.07066815091
16	0.06968496486
17	0.06874244253
18	0.06778647713
19	0.06687359622
20	0.06595028174
21	0.06500456819
22	0.0641743335
23	0.06320226464
24	0.0623714857
25	0.06153581828
26	0.06071986321
27	0.0598680343
28	0.05905663457
29	0.05833326676
30	0.05754061285
31	0.05678639579
32	0.0560215589
33	0.05534518263
34	0.05463609517
35	0.05406758824
36	0.0534202623
37	0.05278557892
38	0.05225164892
39	0.05164489747
40	0.0510774298
41	0.05051271114
42	0.04993147688
43	0.04934277364
44	0.04883413455
45	0.04837982837
46	0.04792796808
47	0.04744999437
48	0.04687586234
49	0.04648421666
50	0.04594242954
51	0.04549648562
52	0.04509274347
53	0.04464935582
54	0.04420736391
55	0.04375830994
56	0.04332033871
57	0.04293087856
58	0.04250891654
59	0.04208781179
60	0.04170148763
61	0.04132671771
62	0.04091454379
63	0.04054997483
64	0.04017191047
65	0.03982929709
66	0.03945049337
67	0.03910367525
68	0.03880202457
69	0.03852121643
70	0.03816268001
71	0.03782050895
72	0.037493941
73	0.0371771753
74	0.03685169463
75	0.03658482079
76	0.03624121478
77	0.03597152846
78	0.03573049685
79	0.03552975913
80	0.03530883809
81	0.03514899821
82	0.03487041465
83	0.0346711811
84	0.03440301983
85	0.03414496762
86	0.03395377101
87	0.03378939015
88	0.03358944424
89	0.03334460394
90	0.03315898132
91	0.03293945928
92	0.03274990414
93	0.03258724405
94	0.03241748939
95	0.03221105222
96	0.0319798471
97	0.03179155635
98	0.03160731294
99	0.03138164439
100	0.03114464003
101	0.03093260093
102	0.03074873519
103	0.03053311335
104	0.03033519599
105	0.03015981915
106	0.02997448018
107	0.02981819247
108	0.02966385691
109	0.02947919971
110	0.02931646061
111	0.02913018874
112	0.02898730012
113	0.02880843127
114	0.02865676072
115	0.02848491502
116	0.02829999364
117	0.02816757974
118	0.02798386757
119	0.02781769786
120	0.02765763813
121	0.02751098148
122	0.02732212031
123	0.02718278375
124	0.02705845335
125	0.02686731532
126	0.0266986178
127	0.02659086386
128	0.02640259909
129	0.02630033176
130	0.02618797252
131	0.02606794877
132	0.02595278455
133	0.02588021329
134	0.02576275767
135	0.02566496592
136	0.02554748521
137	0.02542381963
138	0.02530798176
139	0.02518049481
140	0.02507476362
141	0.0249313914
142	0.02482093207
143	0.0247098648
144	0.02459685751
145	0.02447686686
146	0.02440278586
147	0.02431405842
148	0.0242176032
149	0.02409433478
150	0.02396184169
151	0.02382730619
152	0.02370946539
153	0.02359142106
154	0.02346689979
155	0.02334038238
156	0.02323787573
157	0.02314358853
158	0.02307598987
159	0.02293028918
160	0.02278845104
161	0.02271213896
162	0.02262506697
163	0.02252432064
164	0.02241991585
165	0.02236922727
166	0.02227571765
167	0.02215145285
168	0.02204638702
169	0.02185960587
170	0.02177440364
171	0.02166443554
172	0.02158523088
173	0.02152406283
174	0.02141481076
175	0.02131590519
176	0.02125290416
177	0.02113934255
178	0.02099928631
179	0.02087296757
180	0.02081849063
181	0.02073258813
182	0.0206584763
183	0.0205914336
184	0.0204886224
185	0.02043721155
186	0.0203588406
187	0.02021637687
188	0.0201452705
189	0.02010748135
190	0.02005799597
191	0.02002167765
192	0.01991633838
193	0.019799426
194	0.01970333447
195	0.01964269033
196	0.01957489806
197	0.01947179419
198	0.01935686675
199	0.0192727557
200	0.01921819631
201	0.01916406769
202	0.0190813217
203	0.0190488515
204	0.01898480927
205	0.01893705698
206	0.01886444495
207	0.01877380392
208	0.01868935012
209	0.01866003304
210	0.0186081507
211	0.01853347765
212	0.01845625274
213	0.01839350656
214	0.01833402651
215	0.01828444021
216	0.01825697344
217	0.0182010775
218	0.01810918059
219	0.01806519077
220	0.01796571712
221	0.01792297819
222	0.01785718183
223	0.01781195564
224	0.01774992803
225	0.01770513816
226	0.01764834696
227	0.01761729994
228	0.01750999647
229	0.01744177165
230	0.01740048564
231	0.01732402988
232	0.01720143699
233	0.01709710044
234	0.01704930182
235	0.01698024994
236	0.01691319974
237	0.016808521
238	0.01673054117
239	0.01668113435
240	0.01663656281
241	0.01655849959
242	0.01647080316
243	0.01640789009
244	0.01637438915
245	0.01633887183
246	0.01626056941
247	0.01619318497
248	0.01616072402
249	0.01609570686
250	0.01606919885
251	0.01602884515
252	0.01597004442
253	0.01591235309
254	0.01585926309
255	0.01580824124
256	0.01575112935
257	0.01566809169
258	0.01563920778
259	0.01557834334
260	0.01551809848
261	0.0154957246
262	0.01546915613
263	0.01539324049
264	0.01536512669
265	0.01530352212
266	0.01524998593
267	0.01518531096
268	0.0151165244
269	0.01509104953
270	0.01503187902
271	0.01498206428
272	0.01495933474
273	0.01493540987
274	0.01488159006
275	0.01482595754
276	0.01477357905
277	0.01471771003
278	0.01466307165
279	0.01459921492
280	0.01454078833
281	0.0144973882
282	0.01447635766
283	0.01442573212
284	0.01440538039
285	0.01436773096
286	0.01434132643
287	0.01424563176
288	0.01418818943
289	0.01416930542
290	0.01415083422
291	0.01408818048
292	0.01405182017
293	0.01402411041
294	0.01398663834
295	0.01392055193
296	0.0139011933
297	0.01386530766
298	0.01382450494
299	0.01379281745
300	0.01371257268
301	0.01369819644
302	0.01368086042
303	0.01366392017
304	0.01364977295
305	0.01358495915
306	0.01350829078
307	0.01349178082
308	0.01347135967
309	0.01345586241
310	0.01338625559
311	0.0133267189
312	0.01326596784
313	0.01325064388
314	0.01321265948
315	0.01319839342
316	0.01312539456
317	0.01311108884
318	0.01309983244
319	0.01301210305
320	0.01299774608
321	0.01294503608
322	0.01290255159
323	0.01286929068
324	0.01279459401
325	0.01272710677
326	0.01268343908
327	0.01267235363
328	0.01265822132
329	0.01260730996
330	0.01259632602
331	0.01256520567
332	0.01255514582
333	0.01252582481
334	0.01244791682
335	0.01239894199
336	0.01234649593
337	0.01233356352
338	0.01227902181
339	0.01224231847
340	0.01219121104
341	0.01214087174
342	0.01208058079
343	0.01207093904
344	0.01201610408
345	0.01200184966
346	0.01197347936
347	0.01191376525
348	0.01190018496
349	0.01185034415
350	0.01180492717
351	0.01174160109
352	0.01170862477
353	0.0116899796
354	0.01164043176
355	0.01158988914
356	0.0115295915
357	0.01149016469
358	0.01142917508
359	0.01137889277
360	0.01132083525
361	0.01127124514
362	0.01120528328
363	0.01117613393
364	0.01116175186
365	0.01112967054
366	0.01109779831
367	0.01108734146
368	0.01106481308
369	0.01100409071
370	0.01095788144
371	0.01092537085
372	0.01088358903
373	0.0108743766
374	0.01084817439
375	0.0107992971
376	0.01075760086
377	0.01074442373
378	0.01070704991
379	0.01065657374
380	0.01064778098
381	0.01061297294
382	0.01057391284
383	0.01056469668
384	0.0105169174
385	0.01047517692
386	0.01043690412
387	0.01042493593
388	0.01037915501
389	0.01036869067
390	0.01033483171
391	0.01028143874
392	0.01024537017
393	0.01019116248
394	0.01015012047
395	0.0101225356
396	0.01011302282
397	0.01010574158
398	0.0100611857
399	0.01001921428
400	0.009999592913
401	0.009976933378
402	0.009969242096
403	0.009915378494
404	0.009905986996
405	0.009901417995
406	0.009889057901
407	0.009833664866
408	0.009826127221
409	0.009806211237
410	0.009765164034
411	0.009729207241
412	0.009724432774
413	0.009672491716
414	0.009641868857
415	0.00960029444
416	0.009567507988
417	0.009558380208
418	0.009523383501
419	0.009514763181
420	0.009488133196
421	0.009451077735
422	0.009402657532
423	0.009370452474
424	0.009330033023
425	0.009294786604
426	0.009288295908
427	0.009278326202
428	0.009273714294
429	0.009245204436
430	0.009240954546
431	0.009201361823
432	0.009179639719
433	0.009173636647
434	0.009155303472
435	0.009124091363
436	0.009120647166
437	0.009113463504
438	0.009081289544
439	0.009052142608
440	0.009012527741
441	0.00898997374
442	0.008950601962
443	0.008914466122
444	0.008888167365
445	0.008849765331
446	0.008843831088
447	0.008812674222
448	0.008789296026
449	0.008765687108
450	0.008730015901
451	0.00872262361
452	0.008700419638
453	0.008666979844
454	0.00865714869
455	0.008615942548
456	0.00858171274
457	0.008544763818
458	0.008512313784
459	0.008477753024
460	0.008452776202
461	0.008415907943
462	0.008407329202
463	0.008381814814
464	0.008354905716
465	0.008323418089
466	0.008297353348
467	0.008270341776
468	0.008243762602
469	0.008220538286
470	0.008192516206
471	0.008155816695
472	0.008134857171
473	0.008105977853
474	0.008096840928
475	0.008070824524
476	0.008064954265
477	0.008027070983
478	0.008023531903
479	0.007993926903
480	0.007965779075
481	0.007943437448
482	0.007935078008
483	0.007922904156
484	0.007895620385
485	0.007865248918
486	0.007833674632
487	0.007810250989
488	0.007793567815
489	0.007784478209
490	0.007778901843
491	0.007746942774
492	0.007731049344
493	0.007702825024
494	0.007694044143
495	0.007674032578
496	0.007651697713
497	0.007624329582
498	0.007609348854
499	0.007581043405
500	0.007553067099
501	0.00752337604
502	0.007501788646
503	0.007474590607
504	0.0074438948
505	0.007414353192
506	0.007389050796
507	0.007354990116
508	0.007347495619
509	0.007318909317
510	0.007308637944
511	0.007284285272
512	0.007266762026
513	0.007251583261
514	0.007233665967
515	0.007217028377
516	0.007195925897
517	0.007178626899
518	0.007146931928
519	0.007130189085
520	0.007098070318
521	0.007080045662
522	0.007054363683
523	0.007027666034
524	0.007002560414
525	0.006995399362
526	0.006975516846
527	0.006944451496
528	0.006924162308
529	0.006916153615
530	0.006903156543
531	0.006896853211
532	0.00687862671
533	0.006851151622
534	0.00684714807
535	0.006825617188
536	0.006800456401
537	0.006784030903
538	0.006758893118
539	0.006730416729
540	0.006713242109
541	0.006707433817
542	0.006688643816
543	0.006675124414
544	0.006649206709
545	0.006630927784
546	0.006605217549
547	0.006586128478
548	0.006559458564
549	0.006556711455
550	0.00653753741
551	0.006530517482
552	0.00651238858
553	0.006486374892
554	0.006482773248
555	0.00647671592
556	0.006457488441
557	0.006442103822
558	0.006439289281
559	0.006424988259
560	0.006417417896
561	0.006410907133
562	0.006404569488
563	0.006380920501
564	0.006363524019
565	0.006337593803
566	0.006317689739
567	0.006292709036
568	0.006274011129
569	0.006253068889
570	0.00624704521
571	0.00623975062
572	0.00622011101
573	0.006194861644
574	0.006192500875
575	0.006185510557
576	0.006179918754
577	0.006158228852
578	0.006146151167
579	0.006143280501
580	0.006119954369
581	0.006117219211
582	0.00610517122
583	0.006091972035
584	0.006076271061
585	0.006051285267
586	0.00604046387
587	0.006016595771
588	0.006004063471
589	0.005997894999
590	0.005995007138
591	0.005975204851
592	0.00596391576
593	0.00596168916
594	0.005952085431
595	0.005946973047
596	0.005930881411
597	0.005914022241
598	0.005883939313
599	0.00588031513
600	0.005878011193
601	0.005858472755
602	0.005852538189
603	0.0058408815
604	0.005831787901
605	0.005807117112
606	0.005788990512
607	0.005773381122
608	0.005758929657
609	0.00574004509
610	0.005718305203
611	0.005707925072
612	0.005678715069
613	0.005656054014
614	0.005650097405
615	0.005634988769
616	0.005626232216
617	0.005610015756
618	0.005591143714
619	0.005587208236
620	0.005582043041
621	0.005580038819
622	0.005577890267
623	0.005563714398
624	0.005543532973
625	0.005541406658
626	0.005539551035
627	0.00552052832
628	0.005500378743
629	0.005480346804
630	0.005465158594
